Result,surface,best_of,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
0,1,5,-3,-6.30527037,-1,-1,0.084819539,0.113761239,0.080645161,-16,540
0,1,5,-2,-3.66872006,23,0,-0.093381776,0.196299958,0.061102832,-623,656
0,1,5,-30,-4.91718001,-7,-1,0.082502651,0.063063063,-0.005420054,-44,1055
1,1,5,-5,0.02464066,-7,3,0.085155857,-0.110650371,-0.187332738,85,-1798
0,1,5,-18,-2.72963723,0,0,0.051714934,0.058409437,-0.004040404,19,-107
1,1,5,7,-1.24024641,4,11,-0.197627737,-0.047619048,0.026315789,22,-685
0,1,5,5,-3.79192334,13,-2,0.075987842,0.273333333,0.261764706,-38,526
1,1,5,-13,-6.79534565,-11,3,0.057609058,-0.329254079,-0.082043344,90,-3950
0,1,5,3,2.54893908,13,4,-0.020710785,0.025894539,-0.054054054,40,-4330
0,1,5,-3,-3.80013689,-2,-5,0.035425101,0.119892473,0.157142857,-14,36
1,1,5,-2,-1.20465435,6,2,-0.102058319,-0.068262412,-0.108474576,60,-245
0,1,5,-2,1.5468857,-1,3,0.042735043,0.069157609,-0.046462264,-48,594
0,1,5,20,2.04791239,8,0,0.076470588,0.323899371,0.222222222,-99,1004
0,1,5,-10,2.16563997,-2,-9,0.089840299,0.061617458,0.179531161,81,-1858
0,1,5,11,3.1594798,4,-2,0.151966873,0.180481283,0.18,-76,1649
0,1,5,-5,1.72210814,11,-2,0.044758237,0.006796376,0.083104395,-62,434
0,1,5,-10,-2.39561943,4,-1,-0.054592086,0.106140351,0.231527093,8,-55
0,1,5,5,9.47296373,4,4,-0.070552998,0.122727273,0.044382247,63,-205
0,1,5,-10,7.28542095,2,1,0.115833333,0.118652112,0.20997921,-215,3911
1,1,5,3,-10.90485968,5,3,-0.06708426,-0.041639558,-0.1125,-179,300
0,1,5,7,-0.43531828,3,1,-0.009615384,0.081261595,0.023809523,-17,373
0,1,5,13,8.67077344,8,-5,-0.038316458,0.362913097,0.01827957,-166,1416
0,1,5,7,-6.17659138,1,2,0.141881833,-0.067708333,-0.059913936,-35,155
1,1,5,-2,-1.62354552,2,4,-0.050219834,-0.190972222,-0.186554622,26,-104
0,1,5,3,5.54962354,27,-4,0.138382542,0.168545082,0.192810457,-45,1700
1,1,5,-5,6.12183436,7,1,-0.032668092,-0.051973684,0.034883721,42,-939
0,1,5,13,3.17316907,-3,-2,0.15539097,-0.075738396,-0.034482759,6,-10
1,1,5,-15,-4.04106776,-14,3,-0.030931072,-0.178288288,0.089868668,-15,410
1,1,5,-2,1.25941136,-8,2,-0.121839081,-0.096217105,-0.122619047,61,-579
0,1,5,5,1.65366187,1,-3,-0.059660176,0.058548009,0.115248227,23,-159
1,1,5,8,-9.93292266,2,5,0.047426258,-0.186602871,-0.270220588,81,-8298
1,1,5,-10,-8.48733744,-7,2,-0.092861464,-0.00952381,-0.018773467,40,-563
1,1,5,2,-5.36344969,-1,-3,-0.043720122,-0.005888907,-0.10255461,76,-1525
1,1,5,8,-4.11772758,12,0,0.082867992,-0.029230769,-0.184453228,124,-1037
1,1,5,-5,-7.24982888,-22,5,-0.113545247,-0.241187384,-0.136645962,32,-7005
0,1,5,2,-8.03559206,-8,-3,0.042941176,0.215592335,0.160774411,-53,951
0,1,5,-9,1.45106092,4,1,-0.039341693,0.067963335,0.003309693,-65,1174
0,1,5,10,-0.69815195,10,-5,0.077977528,0.114141414,0.074168798,-48,1632
1,1,5,-3,-2.20944558,1,-1,-0.030337942,-0.139093783,-0.093137255,56,-962
1,1,5,-13,9.31690623,-4,1,0.010080645,0.012956108,-0.240808824,11,-195
0,1,5,-13,-1.3853525,-4,-5,-0.160754172,0.007401033,0.11283293,42,-267
1,1,5,3,4.02737851,2,5,-0.004805592,-0.024208144,-0.037195122,-43,562
1,1,5,-3,4.61054072,-16,0,0.019980507,-0.203827751,-0.119047619,38,-718
