Result,surface,winner_ht,winner_age,loser_ht,loser_age,best_of,w_ace,w_df,%w_FSrv,%w_FSrvWon,%w_2ndWon,%l_FSrv,%l_FSrvWon,%l_2ndWon,l_ace,l_df,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1,1,183,30.75154004,190,31.66872005,5,7,0,0.727891156,0.831775701,0.6,0.596153846,0.795698925,0.492063492,19,2,24,1605,229,220
1,1,183,30.75154004,183,29.58521561,5,10,2,0.709459459,0.704761905,0.558139535,0.650887574,0.645454545,0.491525424,12,4,24,1605,37,1108
1,1,185,24.88980151,183,31.05270363,5,20,1,0.651685393,0.793103448,0.483870968,0.581395349,0.6,0.416666667,4,2,31,1245,56,890
1,1,193,32.36960986,172,26.65297741,5,10,3,0.6,0.755555556,0.566666667,0.614285714,0.418604651,0.37037037,2,4,33,1195,47,985
0,1,188,33.74401095,190,29.51129363,5,23,4,0.595505618,0.943396226,0.555555556,0.663716814,0.746666667,0.473684211,8,5,177,290,40,1063
1,1,193,28.24366872,190,32.75838467,5,11,3,0.602272727,0.886792453,0.428571429,0.592105263,0.755555556,0.419354839,10,3,60,823,108,525
1,1,185,29.79329227,185,28.66255989,5,19,1,0.672316384,0.705882353,0.568965517,0.664705882,0.690265487,0.578947368,18,5,44,1017,65,790
0,1,188,27.8275154,198,31.27173169,5,21,3,0.629310345,0.767123288,0.651162791,0.608695652,0.761904762,0.37037037,23,8,55,903,49,975
1,1,183,33.79876797,190,30.37371663,5,3,1,0.488372093,0.714285714,0.5,0.619047619,0.807692308,0.3125,4,4,59,830,86,657
1,1,183,29.58521561,190,28.27652293,5,11,3,0.695652174,0.8125,0.428571429,0.605042017,0.638888889,0.553191489,6,2,37,1108,80,696
0,1,180,33.0349076,180,28.54209446,5,5,0,0.575,0.695652174,0.647058824,0.669902913,0.666666667,0.235294118,5,4,94,616,46,1010
1,1,190,31.77549624,188,35.61396304,5,9,3,0.541284404,0.796610169,0.52,0.633663366,0.71875,0.513513514,5,5,58,860,100,582
1,1,185,26.88021903,185,28.6844627,5,15,2,0.639344262,0.692307692,0.590909091,0.636986301,0.655913978,0.433962264,11,3,93,620,96,599
1,1,196,33.32511978,190,31.77549624,5,7,1,0.693548387,0.88372093,0.736842105,0.535211268,0.657894737,0.454545455,4,2,57,865,58,860
1,2,185,28.72005476,180,33.09240246,3,5,1,0.671232877,0.755102041,0.625,0.5,0.707317073,0.463414634,11,4,59,790,92,616
0,2,180,33.09240246,181,29.54962355,3,6,2,0.58490566,0.903225806,0.545454545,0.546666667,0.658536585,0.411764706,4,2,92,616,65,760
0,2,185,28.72005476,170,26.46954141,3,1,1,0.653333333,0.673469388,0.5,0.53125,0.558823529,0.533333333,1,2,59,790,20,1835
