Result,Hard,Clay,Best_of_3,surface,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
1,1,0,1,1,0.012241642,-0.903375022,0.685014658,1.321535543,-1.105056419,0.381564779,-0.201684171,0.694319378,-1.615923136
1,1,0,1,1,0.284618179,0.120409563,1.100724,1.321535543,1.741381626,-0.083466536,-1.797037236,-0.603202533,0.231344449
1,1,0,1,1,0.012241642,0.013952912,0.130735534,1.657781393,-0.348889625,-1.680956903,0.277887983,0.315480864,-5.464131707
0,1,0,1,1,0.012241642,0.25493687,-0.007834247,-0.359693706,0.450947903,0.785882937,0.748993539,-0.849447567,1.638837002
0,1,0,1,1,-0.71409579,-0.313891193,-0.007834247,-1.032185405,0.581116224,0.503847486,0.442597824,-0.053886687,4.237829541
1,1,0,1,1,-0.260134895,0.197206647,-0.146404027,-0.023447856,-0.935194413,-1.912148832,-1.845017347,0.031351978,-4.019460105
1,1,0,1,1,0.012241642,0.461494544,0.546444877,-1.032185405,1.819321915,-0.023962352,-1.53506622,0.599609749,-0.207722411
1,1,0,1,1,-0.441719253,0.140535695,-0.700683151,0.312797994,-0.831627407,-1.591795732,-1.785058456,-0.432725201,0.077671048
0,1,0,1,1,-0.623303611,0.368278772,-0.146404027,0.649043844,0.070191677,0.115466008,-0.306700265,-0.120183427,0.115912355
0,1,0,1,1,1.555708686,0.354508263,1.516433343,0.312797994,-0.292344451,0.812741416,-0.292397687,0.097648718,-0.027846633
1,1,0,1,1,1.374124328,2.199227197,0.407875096,1.321535543,-1.661608478,0.23839229,-1.647190805,-0.158067279,0.146363766
0,1,0,1,1,1.101747791,-2.339215687,0.823584438,-1.368431255,-0.622739234,1.811955988,1.97522045,-0.290660759,0.237718
0,1,0,1,1,0.920163432,-0.221734692,0.546444877,-0.023447856,0.174949062,1.097212127,-0.363548644,0.040822941,-0.012975013
0,1,0,1,1,0.738579074,-0.403399518,0.407875096,-0.023447856,0.22615289,0.375015998,0.625407034,0.249184124,-0.221177685
0,1,0,1,1,0.920163432,-0.280524183,0.407875096,-1.032185405,1.457969812,-0.129617587,1.692929524,-0.233834982,0.51461339
0,1,0,1,1,-1.349641043,0.26658884,-0.56211337,-0.695939555,0.744274377,2.732100626,0.75891155,-0.754737938,0.331550837
1,1,0,1,1,-0.71409579,-0.463248281,-1.393532055,0.985289694,-1.208264496,-0.110363053,-0.371741788,0.457545306,-0.604298929
0,1,0,1,1,0.012241642,0.256525775,0.685014658,-0.023447856,0.823276307,-0.121099055,0.928319206,-0.205422093,0.204079813
0,1,0,1,1,-0.71409579,-0.426173827,0.130735534,-0.359693706,-0.593324783,2.017579457,0.143225327,-0.12965439,0.139282043
1,1,0,1,1,-1.168056685,-0.160826658,-0.839252932,0.312797994,-0.230971412,0.652466576,-0.418852342,0.485958195,-0.609610222
1,1,0,1,1,0.012241642,-0.722769464,1.516433343,0.985289694,1.40563812,0.004305129,-1.899046239,-0.347486536,0.320220079
1,1,0,1,1,-0.895680148,-0.395984629,-1.254962274,-0.695939555,0.451273381,-1.01526282,0.032062973,0.097648718,-0.395388084
1,1,0,1,1,2.10046176,0.584369879,1.793572904,-1.368431255,0.811523006,-0.339525951,0.756180503,-0.139125353,0.360585903
0,1,0,1,1,-1.62201758,-1.21903752,-0.977822712,-0.359693706,-0.094163738,-0.086732549,0.272816273,0.126061607,-0.356438605
0,1,0,1,1,-1.894394118,0.650574263,0.407875096,-0.023447856,0.580355543,-0.482412511,2.100245637,-0.442196164,1.153030767
1,1,0,1,1,0.466202537,0.589136595,1.793572904,-1.368431255,-0.233540729,0.272501654,-0.251824011,-0.148596316,0.410157968
1,1,0,1,1,-0.895680148,2.037688502,-1.393532055,0.312797994,1.468544547,-0.826246036,-0.140471786,-0.177009205,0.918271632
0,1,0,1,1,-0.169342716,0.870372816,0.269305315,-0.359693706,2.913182155,2.853103567,0.00514266,-0.016002836,0.006499726
1,1,0,1,1,-0.441719253,-0.157648848,-1.532101836,-0.359693706,2.335376116,-1.753016517,-1.665140678,0.296538938,-0.173376052
0,1,0,1,1,-0.71409579,-0.155530309,0.407875096,-1.704677105,1.464130748,1.022335644,1.167709599,-0.016002836,0.011811019
1,1,0,1,1,-0.169342716,-0.481785509,1.100724,-0.695939555,0.148416532,-0.962321419,0.166664562,0.296538938,-0.171959707
0,1,0,1,1,0.647786895,1.255417509,-0.007834247,-0.695939555,0.131371107,0.103097855,0.947353777,0.249184124,-0.096185265
0,1,0,1,1,-0.260134895,1.387826276,0.130735534,-0.023447856,0.365502848,1.105389075,-0.127995864,-0.480080016,0.138927957
